num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,muni_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_pil,edad_m1,estado_pil,tipo_vehiculo,marca_vehi,color_vehi,modelo_vehi,causa_acc,año_ocu
200.0,27.0,6.0,1.0,17.0,1.0,1.0,2.0,10.0,1.0,42.0,7.0,1.0,1.0,1.0,1.0,4.0,2001.0,1.0,2011
128.0,18.0,9.0,7.0,0.0,1.0,8.0,2.0,7.0,1.0,25.0,4.0,1.0,2.0,1.0,1.0,4.0,9999.0,2.0,2011
28.0,5.0,10.0,3.0,19.0,9.0,1.0,1.0,99.0,1.0,26.0,4.0,1.0,2.0,1.0,1.0,1.0,9999.0,1.0,2011
108.0,15.0,2.0,2.0,12.0,18.0,4.0,1.0,99.0,1.0,59.0,10.0,1.0,9.0,2.0,10.0,99.0,1997.0,1.0,2011
126.0,17.0,6.0,5.0,18.0,1.0,1.0,2.0,11.0,2.0,25.0,4.0,1.0,1.0,2.0,10.0,5.0,2000.0,1.0,2011
79.0,10.0,8.0,3.0,22.0,1.0,1.0,2.0,11.0,1.0,24.0,3.0,1.0,1.0,4.0,10.0,3.0,9999.0,2.0,2011
11.0,3.0,9.0,6.0,7.0,1.0,8.0,2.0,8.0,2.0,35.0,6.0,1.0,9.0,4.0,10.0,3.0,9999.0,2.0,2011
113.0,18.0,10.0,2.0,14.0,1.0,1.0,2.0,17.0,1.0,22.0,3.0,1.0,9.0,4.0,10.0,1.0,9999.0,1.0,2011
119.0,20.0,10.0,4.0,21.0,1.0,1.0,2.0,12.0,1.0,26.0,4.0,1.0,1.0,4.0,10.0,1.0,9999.0,1.0,2011
217.0,26.0,11.0,6.0,0.0,1.0,1.0,1.0,10.0,1.0,19.0,2.0,1.0,1.0,4.0,10.0,5.0,9999.0,3.0,2011
231.0,28.0,12.0,3.0,1.0,16.0,1.0,1.0,1.0,1.0,24.0,3.0,1.0,2.0,8.0,10.0,3.0,1970.0,2.0,2011
251.0,31.0,1.0,1.0,21.0,8.0,5.0,1.0,99.0,1.0,39.0,6.0,1.0,9.0,3.0,11.0,99.0,1982.0,1.0,2011
253.0,31.0,1.0,1.0,22.0,14.0,1.0,2.0,1.0,1.0,29.0,4.0,1.0,2.0,9.0,11.0,4.0,2000.0,2.0,2011
82.0,10.0,2.0,4.0,5.0,1.0,1.0,2.0,10.0,1.0,999.0,99.0,1.0,9.0,3.0,11.0,2.0,1999.0,1.0,2011
131.0,22.0,4.0,5.0,0.0,2.0,1.0,1.0,99.0,1.0,29.0,4.0,1.0,2.0,2.0,11.0,9.0,9999.0,1.0,2011
216.0,27.0,5.0,5.0,19.0,18.0,1.0,2.0,99.0,1.0,31.0,5.0,1.0,9.0,9.0,11.0,16.0,1997.0,1.0,2011
