num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad,edad_m1,condicion_pil,tipo_vehi,color_vehi,causa_acc,año_ocu
1.0,1.0,1.0,7.0,12.0,1.0,101.0,1.0,3.0,1.0,40.0,7.0,1.0,1.0,1.0,6.0,1.0,2012
2.0,1.0,1.0,7.0,17.0,1.0,101.0,1.0,18.0,1.0,44.0,7.0,1.0,2.0,1.0,2.0,1.0,2012
3.0,1.0,1.0,7.0,10.0,1.0,102.0,2.0,99.0,1.0,52.0,9.0,1.0,1.0,3.0,2.0,2.0,2012
4.0,1.0,1.0,7.0,17.0,1.0,101.0,1.0,11.0,2.0,35.0,6.0,1.0,1.0,1.0,2.0,1.0,2012
5.0,1.0,1.0,7.0,9.0,1.0,108.0,1.0,6.0,1.0,19.0,2.0,1.0,2.0,4.0,2.0,1.0,2012
6.0,1.0,1.0,7.0,12.0,1.0,108.0,2.0,1.0,1.0,40.0,7.0,1.0,2.0,12.0,1.0,3.0,2012
7.0,1.0,1.0,7.0,11.0,1.0,110.0,2.0,99.0,1.0,43.0,7.0,1.0,1.0,4.0,1.0,2.0,2012
8.0,1.0,1.0,7.0,10.0,22.0,2215.0,2.0,99.0,1.0,31.0,5.0,1.0,1.0,3.0,1.0,2.0,2012
9.0,1.0,1.0,7.0,16.0,21.0,2103.0,2.0,99.0,1.0,42.0,7.0,1.0,2.0,3.0,4.0,1.0,2012
10.0,1.0,1.0,7.0,2.0,20.0,2007.0,2.0,99.0,1.0,45.0,8.0,1.0,2.0,1.0,9.0,1.0,2012
11.0,1.0,1.0,7.0,0.0,19.0,1901.0,2.0,99.0,1.0,33.0,5.0,1.0,2.0,3.0,6.0,3.0,2012
12.0,1.0,1.0,7.0,19.0,19.0,1903.0,2.0,99.0,1.0,999.0,11.0,1.0,2.0,2.0,11.0,2.0,2012
13.0,1.0,1.0,7.0,22.0,19.0,1903.0,2.0,99.0,1.0,38.0,6.0,1.0,1.0,3.0,3.0,1.0,2012
14.0,1.0,1.0,7.0,17.0,5.0,501.0,2.0,99.0,1.0,35.0,6.0,1.0,2.0,3.0,7.0,3.0,2012
15.0,1.0,1.0,7.0,11.0,5.0,501.0,2.0,99.0,1.0,999.0,11.0,1.0,1.0,3.0,99.0,3.0,2012
16.0,1.0,1.0,7.0,12.0,10.0,1002.0,2.0,99.0,1.0,76.0,10.0,1.0,1.0,3.0,99.0,3.0,2012
17.0,1.0,1.0,7.0,11.0,11.0,1102.0,2.0,99.0,1.0,27.0,4.0,1.0,2.0,3.0,4.0,1.0,2012
18.0,1.0,1.0,7.0,19.0,9.0,918.0,2.0,99.0,1.0,28.0,4.0,1.0,2.0,3.0,5.0,1.0,2012
19.0,1.0,1.0,7.0,14.0,12.0,1203.0,2.0,99.0,1.0,29.0,4.0,1.0,2.0,3.0,1.0,1.0,2012
20.0,1.0,1.0,7.0,4.0,13.0,1301.0,2.0,99.0,1.0,29.0,4.0,1.0,1.0,3.0,5.0,3.0,2012
21.0,1.0,1.0,7.0,15.0,13.0,1301.0,2.0,99.0,9.0,999.0,11.0,9.0,9.0,2.0,99.0,1.0,2012
22.0,1.0,1.0,7.0,6.0,13.0,1301.0,2.0,99.0,1.0,29.0,4.0,1.0,2.0,3.0,5.0,3.0,2012
23.0,1.0,1.0,7.0,13.0,15.0,1507.0,2.0,99.0,1.0,26.0,4.0,1.0,2.0,4.0,5.0,2.0,2012
24.0,1.0,1.0,7.0,17.0,2.0,201.0,2.0,99.0,1.0,27.0,4.0,1.0,2.0,14.0,1.0,3.0,2012
