num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_2,mayor_menor,tipo_veh,color_veh,modelo_veh,causa_acc,marca_veh,estado_pil,año_ocu
1.0,1.0,1.0,2.0,3.0,1.0,1.0,106.0,1.0,6.0,1.0,32.0,5.0,1.0,3.0,99.0,9999.0,2.0,99.0,2.0,2013
2.0,1.0,1.0,2.0,5.0,1.0,1.0,101.0,1.0,11.0,1.0,34.0,5.0,1.0,1.0,2.0,2010.0,2.0,5.0,2.0,2013
3.0,1.0,1.0,2.0,3.0,1.0,1.0,108.0,1.0,3.0,1.0,28.0,4.0,1.0,1.0,4.0,9999.0,1.0,20.0,2.0,2013
4.0,1.0,1.0,2.0,0.0,1.0,19.0,1901.0,2.0,99.0,1.0,21.0,3.0,1.0,4.0,1.0,2012.0,2.0,24.0,1.0,2013
5.0,1.0,1.0,2.0,18.0,4.0,19.0,1901.0,2.0,99.0,1.0,19.0,2.0,1.0,3.0,1.0,9999.0,3.0,44.0,9.0,2013
6.0,1.0,1.0,2.0,0.0,1.0,5.0,502.0,2.0,99.0,1.0,24.0,3.0,1.0,4.0,5.0,2001.0,2.0,2.0,1.0,2013
7.0,1.0,1.0,2.0,11.0,2.0,9.0,901.0,2.0,99.0,1.0,36.0,6.0,1.0,2.0,5.0,9999.0,2.0,44.0,2.0,2013
8.0,1.0,1.0,2.0,1.0,1.0,12.0,1217.0,2.0,99.0,1.0,38.0,6.0,1.0,5.0,6.0,1992.0,1.0,34.0,1.0,2013
9.0,1.0,1.0,2.0,7.0,2.0,13.0,1322.0,2.0,99.0,9.0,999.0,12.0,1.0,3.0,99.0,9999.0,3.0,44.0,1.0,2013
10.0,1.0,1.0,2.0,8.0,2.0,16.0,1604.0,2.0,99.0,1.0,33.0,5.0,1.0,5.0,2.0,1999.0,2.0,19.0,2.0,2013
11.0,1.0,1.0,2.0,3.0,1.0,18.0,1801.0,2.0,99.0,1.0,25.0,4.0,1.0,4.0,99.0,9999.0,2.0,99.0,1.0,2013
12.0,1.0,1.0,2.0,4.0,1.0,3.0,301.0,2.0,99.0,2.0,25.0,4.0,1.0,4.0,99.0,9999.0,2.0,99.0,1.0,2013
13.0,1.0,1.0,2.0,2.0,1.0,3.0,308.0,2.0,99.0,1.0,22.0,3.0,1.0,4.0,5.0,9999.0,2.0,99.0,1.0,2013
14.0,2.0,1.0,3.0,15.0,3.0,1.0,101.0,1.0,1.0,1.0,40.0,7.0,1.0,3.0,2.0,2008.0,1.0,44.0,1.0,2013
15.0,2.0,1.0,3.0,7.0,2.0,1.0,101.0,1.0,1.0,9.0,999.0,12.0,9.0,12.0,6.0,9999.0,1.0,99.0,9.0,2013
16.0,2.0,1.0,3.0,22.0,4.0,1.0,101.0,1.0,5.0,1.0,49.0,8.0,1.0,10.0,2.0,9999.0,1.0,20.0,1.0,2013
17.0,2.0,1.0,3.0,7.0,2.0,5.0,501.0,2.0,99.0,1.0,52.0,9.0,1.0,5.0,2.0,1999.0,1.0,44.0,1.0,2013
18.0,2.0,1.0,3.0,10.0,2.0,6.0,611.0,2.0,99.0,1.0,35.0,6.0,1.0,12.0,99.0,9999.0,3.0,99.0,1.0,2013
19.0,2.0,1.0,3.0,18.0,4.0,13.0,1301.0,1.0,3.0,1.0,36.0,6.0,1.0,4.0,3.0,9999.0,1.0,40.0,2.0,2013
20.0,2.0,1.0,3.0,10.0,2.0,16.0,1608.0,2.0,99.0,1.0,42.0,7.0,1.0,12.0,7.0,1995.0,3.0,13.0,1.0,2013
21.0,3.0,1.0,4.0,11.0,2.0,1.0,101.0,1.0,10.0,1.0,24.0,3.0,1.0,12.0,1.0,9999.0,1.0,99.0,1.0,2013
22.0,3.0,1.0,4.0,21.0,4.0,1.0,108.0,1.0,6.0,1.0,39.0,6.0,1.0,3.0,2.0,9999.0,1.0,34.0,2.0,2013
23.0,3.0,1.0,4.0,14.0,3.0,5.0,501.0,1.0,3.0,1.0,31.0,5.0,1.0,5.0,2.0,9999.0,1.0,99.0,1.0,2013
24.0,3.0,1.0,4.0,19.0,4.0,9.0,917.0,2.0,99.0,1.0,56.0,10.0,1.0,2.0,9.0,9999.0,1.0,11.0,2.0,2013
25.0,3.0,1.0,4.0,20.0,4.0,13.0,1301.0,2.0,99.0,1.0,27.0,4.0,1.0,3.0,3.0,9999.0,3.0,44.0,1.0,2013
26.0,3.0,1.0,4.0,22.0,4.0,2.0,203.0,2.0,99.0,1.0,60.0,11.0,1.0,9.0,2.0,9999.0,1.0,20.0,1.0,2013
27.0,3.0,1.0,4.0,16.0,3.0,7.0,701.0,2.0,99.0,1.0,65.0,11.0,1.0,9.0,4.0,9999.0,3.0,20.0,1.0,2013
28.0,4.0,1.0,5.0,17.0,3.0,1.0,101.0,1.0,9.0,1.0,26.0,4.0,1.0,1.0,2.0,9999.0,1.0,32.0,2.0,2013
29.0,4.0,1.0,5.0,7.0,2.0,1.0,101.0,1.0,18.0,1.0,39.0,6.0,1.0,4.0,99.0,9999.0,3.0,99.0,9.0,2013
30.0,4.0,1.0,5.0,6.0,2.0,20.0,2008.0,2.0,99.0,1.0,47.0,8.0,1.0,13.0,7.0,9999.0,1.0,99.0,1.0,2013
31.0,4.0,1.0,5.0,15.0,3.0,5.0,501.0,2.0,99.0,1.0,42.0,7.0,1.0,1.0,4.0,9999.0,1.0,21.0,9.0,2013
32.0,4.0,1.0,5.0,8.0,2.0,10.0,1001.0,1.0,1.0,1.0,41.0,7.0,1.0,8.0,2.0,9999.0,1.0,42.0,1.0,2013
33.0,4.0,1.0,5.0,20.0,4.0,9.0,901.0,1.0,7.0,2.0,39.0,6.0,1.0,2.0,4.0,2002.0,1.0,42.0,1.0,2013
34.0,4.0,1.0,5.0,18.0,4.0,15.0,1501.0,2.0,99.0,1.0,46.0,8.0,1.0,1.0,99.0,9999.0,3.0,99.0,9.0,2013
35.0,4.0,1.0,5.0,14.0,3.0,2.0,205.0,2.0,99.0,9.0,999.0,12.0,9.0,3.0,9.0,1987.0,4.0,99.0,9.0,2013
36.0,4.0,1.0,5.0,17.0,3.0,7.0,701.0,2.0,99.0,1.0,46.0,8.0,1.0,2.0,14.0,9999.0,3.0,42.0,9.0,2013
37.0,5.0,1.0,6.0,8.0,2.0,1.0,103.0,2.0,99.0,1.0,47.0,8.0,1.0,5.0,2.0,1995.0,1.0,37.0,9.0,2013
38.0,5.0,1.0,6.0,12.0,3.0,20.0,2001.0,2.0,99.0,1.0,17.0,2.0,2.0,4.0,9.0,9999.0,1.0,99.0,9.0,2013
39.0,5.0,1.0,6.0,8.0,2.0,10.0,1001.0,2.0,99.0,1.0,57.0,10.0,1.0,5.0,3.0,1997.0,1.0,15.0,9.0,2013
40.0,5.0,1.0,6.0,7.0,2.0,9.0,919.0,2.0,99.0,9.0,999.0,12.0,9.0,7.0,99.0,9999.0,4.0,99.0,9.0,2013
41.0,5.0,1.0,6.0,9.0,2.0,13.0,1301.0,2.0,99.0,9.0,999.0,12.0,9.0,3.0,1.0,9999.0,2.0,44.0,9.0,2013
42.0,5.0,1.0,6.0,23.0,4.0,2.0,201.0,2.0,99.0,1.0,38.0,6.0,1.0,6.0,6.0,1996.0,1.0,15.0,9.0,2013
43.0,5.0,1.0,6.0,16.0,3.0,18.0,1804.0,2.0,99.0,1.0,53.0,9.0,1.0,2.0,4.0,1997.0,1.0,44.0,9.0,2013
44.0,6.0,1.0,7.0,9.0,2.0,1.0,101.0,1.0,1.0,1.0,37.0,6.0,1.0,3.0,2.0,9999.0,1.0,44.0,1.0,2013
45.0,6.0,1.0,7.0,0.0,1.0,1.0,101.0,1.0,9.0,1.0,29.0,4.0,1.0,1.0,5.0,9999.0,2.0,32.0,9.0,2013
46.0,6.0,1.0,7.0,8.0,2.0,19.0,1907.0,1.0,99.0,1.0,19.0,2.0,1.0,4.0,99.0,9999.0,3.0,42.0,1.0,2013
47.0,6.0,1.0,7.0,11.0,2.0,5.0,501.0,1.0,99.0,1.0,28.0,4.0,1.0,6.0,2.0,1999.0,1.0,15.0,1.0,2013
48.0,6.0,1.0,7.0,19.0,4.0,10.0,1001.0,1.0,4.0,1.0,24.0,3.0,1.0,4.0,4.0,2007.0,3.0,99.0,2.0,2013
49.0,6.0,1.0,7.0,23.0,4.0,11.0,1101.0,1.0,6.0,1.0,34.0,5.0,1.0,3.0,4.0,9999.0,2.0,23.0,2.0,2013
50.0,6.0,1.0,7.0,17.0,3.0,13.0,1301.0,1.0,99.0,1.0,19.0,2.0,1.0,2.0,5.0,9999.0,2.0,44.0,2.0,2013
51.0,6.0,1.0,7.0,0.0,1.0,8.0,805.0,2.0,99.0,9.0,999.0,12.0,9.0,7.0,11.0,9999.0,3.0,99.0,9.0,2013
52.0,6.0,1.0,7.0,20.0,4.0,2.0,203.0,2.0,99.0,1.0,35.0,6.0,1.0,1.0,2.0,2003.0,3.0,46.0,1.0,2013
53.0,6.0,1.0,7.0,22.0,4.0,14.0,1404.0,2.0,99.0,1.0,43.0,7.0,1.0,3.0,2.0,1995.0,1.0,44.0,9.0,2013
54.0,6.0,1.0,7.0,13.0,3.0,4.0,403.0,2.0,99.0,9.0,999.0,12.0,9.0,3.0,4.0,1994.0,2.0,44.0,9.0,2013
55.0,7.0,1.0,1.0,5.0,1.0,1.0,101.0,1.0,12.0,1.0,64.0,11.0,1.0,6.0,1.0,1995.0,1.0,29.0,9.0,2013
56.0,7.0,1.0,1.0,17.0,3.0,22.0,2201.0,1.0,1.0,1.0,25.0,4.0,1.0,1.0,3.0,9999.0,2.0,32.0,9.0,2013
57.0,7.0,1.0,1.0,19.0,4.0,22.0,2201.0,2.0,99.0,2.0,26.0,4.0,1.0,2.0,9.0,2000.0,3.0,5.0,1.0,2013
58.0,7.0,1.0,1.0,13.0,3.0,10.0,1015.0,2.0,99.0,1.0,18.0,2.0,1.0,14.0,1.0,2007.0,3.0,2.0,1.0,2013
59.0,7.0,1.0,1.0,15.0,3.0,9.0,921.0,2.0,99.0,1.0,24.0,3.0,1.0,4.0,99.0,2012.0,3.0,2.0,9.0,2013
60.0,7.0,1.0,1.0,11.0,2.0,8.0,805.0,2.0,99.0,1.0,40.0,7.0,1.0,3.0,99.0,9999.0,1.0,44.0,1.0,2013
61.0,7.0,1.0,1.0,2.0,1.0,3.0,314.0,1.0,1.0,1.0,19.0,2.0,1.0,4.0,1.0,9999.0,2.0,99.0,9.0,2013
62.0,8.0,1.0,2.0,12.0,3.0,19.0,1901.0,2.0,99.0,1.0,23.0,3.0,1.0,14.0,99.0,9999.0,3.0,99.0,9.0,2013
63.0,8.0,1.0,2.0,11.0,2.0,1.0,117.0,1.0,7.0,1.0,39.0,6.0,1.0,5.0,2.0,9999.0,1.0,22.0,1.0,2013
64.0,8.0,1.0,2.0,6.0,2.0,4.0,416.0,2.0,99.0,1.0,36.0,6.0,1.0,3.0,3.0,9999.0,1.0,44.0,9.0,2013
65.0,8.0,1.0,2.0,17.0,3.0,19.0,1908.0,2.0,99.0,9.0,999.0,12.0,9.0,14.0,1.0,9999.0,1.0,2.0,9.0,2013
66.0,8.0,1.0,2.0,19.0,4.0,12.0,1222.0,2.0,99.0,9.0,999.0,12.0,9.0,3.0,9.0,9999.0,2.0,44.0,9.0,2013
67.0,9.0,1.0,3.0,7.0,2.0,1.0,101.0,1.0,11.0,1.0,28.0,4.0,1.0,12.0,99.0,9999.0,1.0,22.0,1.0,2013
68.0,9.0,1.0,3.0,8.0,2.0,7.0,704.0,2.0,99.0,9.0,999.0,12.0,9.0,9.0,2.0,9999.0,3.0,44.0,9.0,2013
69.0,10.0,1.0,4.0,8.0,2.0,1.0,101.0,1.0,11.0,1.0,40.0,7.0,1.0,3.0,1.0,1984.0,1.0,5.0,2.0,2013
70.0,10.0,1.0,4.0,15.0,3.0,1.0,101.0,1.0,21.0,2.0,38.0,6.0,1.0,2.0,3.0,9999.0,1.0,34.0,1.0,2013
71.0,10.0,1.0,4.0,11.0,2.0,20.0,2004.0,2.0,99.0,1.0,56.0,10.0,1.0,3.0,6.0,9999.0,3.0,34.0,1.0,2013
