variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,11198,0,11198,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,11198,0,1,2023,,,,,,
dia_ocu,object,11198,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,11198,0,25,"15, 20, 23, 1, 17",,,,,,
g_hora,object,11198,0,5,"12:00 a 17:59, 18:00 a 23:59, 00:00 a 05:59, 06:00 a 11:59, Ignorada",,,,,,
g_hora_5,object,11198,0,4,"Tarde, Noche, Mañana, Ignorada",,,,,,
mes_ocu,object,11198,0,12,"Enero, Febrero, Marzo, Abril, Mayo",,,,,,
dia_sem_ocu,object,11198,0,7,"Domingo, Lunes, Martes, Miércoles, Jueves",,,,,,
depto_ocu,object,11198,0,22,"Guatemala, Zacapa, Escuintla, Santa Rosa, Suchitepéquez",,,,,,
mupio_ocu,object,11198,0,288,"Palencia, Guatemala, Villa Canales, San Juan Sacatepéquez, Usumatlán",,,,,,
zona_ocu,object,11198,0,24,"Ignorada, 24, 25, 6, 12",,,,,,
sexo_per,object,11198,0,3,"Hombre, Mujer, Ignorado",,,,,,
edad_per,object,11198,0,96,"17, 22, 30, 48, 37",,,,,,
g_edad_80ymas,object,11198,0,16,"15-19, 20-24, 30-34, 45-49, 35-39",,,,,,
g_edad_60ymas,object,11198,0,12,"15-19, 20-24, 30-34, 45-49, 35-39",,,,,,
edad_quinquenales,object,11198,0,18,"15 - 19, 20 - 24, 30 - 34, 45 - 49, 35 - 39",,,,,,
mayor_menor,object,11198,0,3,"Menor, Mayor, Ignorado",,,,,,
tipo_veh,object,11198,0,17,"Motocicleta, Pick up, Automóvil, Cuatrimoto, Microbús",,,,,,
marca_veh,object,11198,0,84,"Freedom, Bajaj, Suzuki, Ignorado, Asia Hero",,,,,,
color_veh,object,11198,0,17,"Negro, Azul, Gris, Rojo, Ignorado",,,,,,
modelo_veh,object,11198,0,48,"2017, 2022, 2021, Ignorado, 2019",,,,,,
g_modelo_veh,object,11198,0,7,"2010-2019, 2020-2029, Ignorado, 1990-1999, 2000-2009",,,,,,
tipo_eve,object,11198,0,8,"Colisión, Derrape, Choque, Vuelco, Embarrancó",,,,,,
fall_les,object,11198,0,3,"Lesionado, Fallecido, Ignorado",,,,,,
int_o_noint,object,11198,0,3,"Internado, No internado, Ignorado",,,,,,
anio,int64,11198,0,1,2023,2023.0,2023.0,2023.0,0.0,,
