variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,100257,9160,11668,"1.0, 2.0, 3.0, 4.0, 5.0",,,,,,
ano_ocu,object,91367,18050,9,"2021.0, 2015, 2016, 2017, 2018",,,,,,
dia_ocu,object,109417,0,31,"1.0, 2.0, 3.0, 4.0, 5.0",,,,,,
hora_ocu,object,109417,0,26,"7.0, 9.0, 5.0, 2.0, 19.0",,,,,,
g_hora,object,109417,0,10,"2.0, 1.0, 4.0, 3.0, 5.0",,,,,,
g_hora_5,object,91367,18050,8,"1.0, 3.0, 2.0, 4.0, Mañana",,,,,,
mes_ocu,object,109417,0,24,"1.0, 2.0, 3.0, 4.0, 5.0",,,,,,
dia_sem_ocu,object,109417,0,16,"5.0, 6.0, 7.0, 1.0, 2.0",,,,,,
depto_ocu,object,109417,0,44,"1.0, 11.0, 15.0, 18.0, 20.0",,,,,,
mupio_ocu,object,109417,0,654,"101.0, 115.0, 114.0, 108.0, 110.0",,,,,,
zona_ocu,object,109417,0,26,"8.0, 18.0, 21.0, 99.0, 4.0",,,,,,
zona_ciudad,float64,10544,98873,23,"8.0, 18.0, 21.0, 99.0, 12.0",1.0,99.0,82.77551213960547,34.42467296047128,,
sexo_per,object,91367,18050,6,"1.0, 2.0, 9.0, Hombre, Mujer",,,,,,
edad_per,object,91367,18050,103,"23.0, 25.0, 35.0, 20.0, 40.0",,,,,,
g_edad_80ymas,object,91367,18050,32,"3.0, 4.0, 6.0, 7.0, 8.0",,,,,,
g_edad_60ymas,object,91367,18050,24,"3.0, 4.0, 6.0, 7.0, 8.0",,,,,,
edad_quinquenales,object,100357,9060,37,"5.0, 6.0, 8.0, 9.0, 10.0",,,,,,
mayor_menor,object,109417,0,6,"1.0, 2.0, 9.0, Mayor, Ignorado",,,,,,
tipo_veh,object,109417,0,42,"4.0, 1.0, 18.0, 12.0, 2.0",,,,,,
marca_veh,object,109417,0,256,"67.0, 20.0, 100.0, 3.0, 18.0",,,,,,
color_veh,object,109417,0,34,"4.0, 1.0, 5.0, 7.0, 99.0",,,,,,
modelo_veh,object,109417,0,70,"2020.0, 9999.0, 2015.0, 2017.0, 2003.0",,,,,,
g_modelo_veh,object,91367,18050,14,"6.0, 99.0, 5.0, 4.0, 3.0",,,,,,
tipo_eve,object,100357,9060,17,"6.0, 1.0, 2.0, 7.0, 3.0",,,,,,
fall_les,object,100357,9060,6,"1.0, 2.0, 9, Lesionado, Fallecido",,,,,,
int_o_noint,object,91367,18050,6,"2.0, 1.0, 9.0, No internado, Internado",,,,,,
anio,int64,109417,0,11,"2021, 2013, 2014, 2015, 2016",2013.0,2023.0,2018.119231929225,3.181186958759283,,
num_hecho,float64,9060,100357,9060,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,9060.0,4530.5,2615.5410530136974,,
areag_ocu,float64,9060,100357,2,"1.0, 2.0",1.0,2.0,1.7214128035320089,0.44832862467518736,,
sexo_pil,float64,9060,100357,3,"1.0, 2.0, 9.0",1.0,9.0,1.3186534216335541,0.5042098488411232,,
edad_pil,float64,9060,100357,97,"34.0, 15.0, 21.0, 22.0, 19.0",1.0,999.0,76.16048565121413,205.65040599527364,,
g_edad_2,float64,9060,100357,8,"5.0, 4.0, 9.0, 6.0, 8.0",2.0,9.0,5.126379690949228,1.5714324904934003,,
causa_acc,float64,9060,100357,6,"2.0, 3.0, 1.0, 4.0, 99.0",1.0,99.0,2.894812362030905,3.456169920277254,,
g_edad,float64,18050,91367,12,"5.0, 2.0, 3.0, 1.0, 11.0",1.0,12.0,5.038614958448753,3.1591932933283537,,
fallecidos_lesionados,float64,9060,100357,2,"2.0, 1.0",1.0,2.0,1.8328918322295806,0.3730930072994809,,
otro_g_edad_fall_les,float64,9060,100357,8,"4.0, 3.0, 2.0, 8.0, 6.0",1.0,8.0,3.787086092715232,1.5131717037457628,,
num_correlativo,float64,8990,100427,8990,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,8990.0,4495.5,2595.3337935610516,,
corre_base,float64,8990,100427,6417,"285.0, 298.0, 391.0, 451.0, 568.0",1.0,6417.0,2658.960622914349,1833.6546635897168,,
area_geo_ocu,object,31055,78362,2,"1.0, 2.0",,,,,,
sexo_vic,float64,8990,100427,2,"1.0, 2.0",1.0,2.0,1.292769744160178,0.4550589581557033,,
edad_vic,float64,8990,100427,99,"999.0, 1.0, 3.0, 4.0, 2.0",1.0,999.0,78.49788654060066,209.98581855390333,,
