num_corre,dia_ocu,ano_ocu,hora_ocu,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,area_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,fall_les,int_o_noint,anio
1,1,2016,2,1,5,101,1,1,1,1,27,1,4,999,9,9999,1,4,4,6,1,1,6,2,1,2016
2,1,2016,2,1,5,101,1,1,1,1,38,1,4,999,9,9999,1,6,6,8,1,1,6,2,1,2016
3,1,2016,13,1,5,101,1,1,18,2,58,1,1,999,2,9999,1,10,10,12,3,2,6,2,2,2016
4,1,2016,13,1,5,101,1,1,18,2,38,1,1,999,2,9999,1,6,6,8,3,2,6,2,2,2016
5,1,2016,13,1,5,101,1,1,18,2,48,1,1,999,2,9999,1,8,8,10,3,2,6,2,1,2016
6,1,2016,10,1,5,106,1,2,99,1,72,1,3,52,4,2014,1,13,11,15,2,1,5,2,1,2016
7,1,2016,10,1,5,106,1,2,99,1,999,1,3,52,4,2014,1,16,12,18,2,1,5,2,1,2016
8,1,2016,10,1,5,106,1,2,99,2,30,1,3,52,4,2014,1,5,5,7,2,1,5,2,1,2016
9,1,2016,12,1,5,101,1,2,10,2,23,1,14,6,1,2013,1,3,3,5,3,2,5,2,1,2016
10,1,2016,12,1,5,109,1,1,99,2,999,1,1,48,6,1993,1,16,12,18,3,2,3,2,1,2016
11,1,2016,10,1,5,2201,22,2,99,2,54,1,99,999,99,9999,1,9,9,11,2,1,6,2,1,2016
12,1,2016,10,1,5,2201,22,2,99,1,3,2,99,999,99,9999,1,1,1,1,2,1,6,2,1,2016
13,1,2016,10,1,5,2201,22,2,99,2,5,2,99,999,99,9999,1,1,1,2,2,1,6,2,1,2016
14,1,2016,10,1,5,2201,22,2,99,1,8,2,99,999,99,9999,1,1,1,2,2,1,6,2,1,2016
15,1,2016,10,1,5,2201,22,2,99,1,10,2,99,999,99,9999,1,1,1,3,2,1,6,2,1,2016
16,1,2016,10,1,5,2201,22,2,99,2,30,1,99,999,99,9999,1,5,5,7,2,1,6,2,1,2016
17,1,2016,10,1,5,2201,22,2,99,2,2,2,99,999,99,9999,1,1,1,1,2,1,6,2,1,2016
18,1,2016,10,1,5,2201,22,2,99,2,12,2,99,999,99,9999,1,1,1,3,2,1,6,2,1,2016
19,1,2016,17,1,5,2007,20,2,99,1,23,1,4,999,99,9999,1,3,3,5,3,2,6,1,2,2016
20,1,2016,17,1,5,2007,20,2,99,1,999,1,3,69,1,9999,1,16,12,18,3,2,6,1,2,2016
21,1,2016,20,1,5,1905,19,2,99,1,30,1,4,999,99,9999,1,5,5,7,4,3,6,2,1,2016
22,1,2016,12,1,5,1101,11,2,99,2,67,1,3,69,6,2008,1,12,11,14,3,2,4,2,2,2016
23,1,2016,12,1,5,1101,11,2,99,2,22,1,3,69,6,2008,1,3,3,5,3,2,4,2,2,2016
24,1,2016,12,1,5,1101,11,2,99,2,3,2,3,69,6,2008,1,1,1,1,3,2,4,2,2,2016
25,1,2016,2,1,5,1301,13,1,99,2,18,1,2,31,99,1996,1,2,2,4,1,1,3,2,2,2016
26,1,2016,22,1,5,1601,16,2,99,2,70,1,2,56,8,1988,1,13,11,15,4,3,2,2,1,2016
27,1,2016,23,1,5,1801,18,2,99,1,73,1,1,69,4,2001,1,13,11,15,4,3,4,2,1,2016
28,1,2016,23,1,5,1801,18,2,99,1,72,1,1,69,4,2001,1,13,11,15,4,3,4,2,1,2016
29,1,2016,23,1,5,1801,18,2,99,2,999,1,1,69,4,2001,1,16,12,18,4,3,4,2,2,2016
30,1,2016,23,1,5,1801,18,2,99,2,5,2,1,69,4,2001,1,1,1,2,4,3,4,2,2,2016
31,1,2016,23,1,5,1801,18,2,99,1,11,2,1,69,4,2001,1,1,1,3,4,3,4,2,2,2016
32,1,2016,12,1,5,401,4,2,99,2,12,2,11,999,99,9999,1,1,1,3,3,2,6,2,1,2016
33,1,2016,12,1,5,401,4,2,99,1,20,1,4,999,99,9999,1,3,3,5,3,2,6,2,1,2016
34,2,2016,2,1,6,101,1,1,1,1,19,1,4,6,3,9999,1,2,2,4,1,1,6,2,1,2016
35,2,2016,21,1,6,101,1,2,1,2,28,1,1,27,3,1991,1,4,4,6,4,3,3,2,1,2016
36,2,2016,23,1,6,2007,20,2,99,1,23,1,4,64,1,2003,2,3,3,5,4,3,4,1,2,2016
37,2,2016,14,1,6,1904,19,2,99,1,31,1,2,27,4,9999,1,5,5,7,3,2,6,1,2,2016
38,2,2016,16,1,6,1905,19,2,99,1,12,2,4,6,5,9999,1,1,1,3,3,2,6,2,1,2016
39,2,2016,19,1,6,1903,19,2,99,1,61,1,1,999,99,9999,1,11,11,13,4,3,6,2,1,2016
40,2,2016,19,1,6,1903,19,2,99,2,45,1,1,999,99,9999,1,8,8,10,4,3,6,2,2,2016
41,2,2016,19,1,6,1903,19,2,99,2,13,2,1,999,99,9999,1,1,1,3,4,3,6,2,2,2016
