variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_hecho,float64,6323,0,6323,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,6323.0,3162.0,1825.4372079039038,,Numero de hecho
dia_ocu,float64,6323,0,31,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,31.0,15.41515103590068,8.808691428929261,,Día de ocurrencia
mes_ocu,float64,6323,0,12,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,12.0,6.449944646528547,3.419959916047104,,Mes de ocurrencia
dia_sem_ocu,float64,6323,0,7,"2.0, 3.0, 4.0, 5.0, 6.0",1.0,7.0,4.463862090779693,2.019851357825641,,Dia semana ocurrencia
hora_ocu,float64,6323,0,24,"3.0, 5.0, 0.0, 18.0, 11.0",0.0,23.0,13.815593863672307,7.008592620689566,,Hora de ocurrencia
depto_ocu,float64,6323,0,22,"1.0, 19.0, 5.0, 9.0, 12.0",1.0,22.0,7.498181243080816,6.919804655490727,,Departamento de ocurrencia
mupio_ocu,float64,6323,0,252,"106.0, 101.0, 108.0, 1901.0, 502.0",101.0,2217.0,754.0328957773208,691.9089006427245,,Municipio de ocurrencia
areag_ocu,float64,6323,0,2,"1.0, 2.0",1.0,2.0,1.6212241024829985,0.485120538585754,,Area geografica
zona_ocu,float64,6323,0,23,"6.0, 11.0, 3.0, 99.0, 1.0",1.0,99.0,65.33844693974379,44.48099901017874,,Zona de ocurrencia
sexo_pil,float64,6323,0,3,"1.0, 9.0, 2.0",1.0,9.0,1.4206863830460223,1.6531284378219722,,Sexo del piloto
edad_pil,float64,6323,0,71,"32.0, 34.0, 28.0, 43.0, 21.0",7.0,999.0,176.7659338921398,343.9991515365338,,Edad del piloto
mayor_menor,float64,6323,0,3,"1.0, 9.0, 2.0",1.0,9.0,1.4037640360588328,1.7179381128804065,,Mayor o menor
tipo_veh,float64,6323,0,17,"3.0, 1.0, 4.0, 2.0, 5.0",1.0,99.0,6.155780483947494,14.950850386300395,,Tipo de vehiculo
color_veh,float64,6323,0,16,"99.0, 2.0, 4.0, 6.0, 1.0",1.0,99.0,21.077336707259214,36.59804403687767,,Color de vehiculo
modelo_veh,float64,6323,0,7,"6.0, 5.0, 4.0, 3.0, 2.0",1.0,2014.0,8.179503400284675,79.84881838100598,,Modelo Vehiculo
causa_acc,float64,6323,0,5,"2.0, 1.0, 3.0, 4.0, 99.0",1.0,99.0,1.4445674521587855,3.932628637357511,,Causa de accidente
marca_veh,float64,6323,0,49,"99.0, 5.0, 20.0, 44.0, 24.0",1.0,99.0,46.029258263482525,32.0101405239851,,Marca de vehículo
g_edad,float64,6323,0,11,"5.0, 4.0, 7.0, 3.0, 2.0",1.0,11.0,6.021666930254626,2.8833163868494087,,Grupo de edad
estado_pil,float64,6323,0,3,"2.0, 1.0, 9.0",1.0,9.0,5.027202277399969,3.890207069311442,,Estado del piloto
grupo_mode_veh,float64,6323,0,6,"6.0, 5.0, 4.0, 3.0, 2.0",1.0,6.0,5.002214138858137,1.3269628011193717,,Grupo de vehículos por modelo
anio,int64,6323,0,1,2013,2013.0,2013.0,2013.0,0.0,,
