variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,float64,12796,0,12796,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,12796.0,6398.5,3694.031357022659,,
ano_ocu,float64,12796,0,1,2021.0,2021.0,2021.0,2021.0,0.0,,
dia_ocu,float64,12796,0,31,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,31.0,15.752344482650829,8.779332811569285,,
hora_ocu,float64,12796,0,25,"7.0, 9.0, 5.0, 2.0, 19.0",0.0,99.0,14.376055017192872,6.798446040273194,,Hora de ocurrencia
g_hora,float64,12796,0,5,"2.0, 1.0, 4.0, 3.0, 5.0",1.0,5.0,2.9873397936855266,1.0537693205331968,,Grupo de hora
g_hora_5,float64,12796,0,4,"1.0, 3.0, 2.0, 4.0",1.0,4.0,2.1143326039387307,0.846468488456017,,"Grupo de hora mañana, tarde y noche"
mes_ocu,float64,12796,0,12,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,12.0,6.705064082525789,3.544204322385509,,Mes de ocurrencia
dia_sem_ocu,float64,12796,0,7,"5.0, 6.0, 7.0, 1.0, 2.0",1.0,7.0,4.366208190059393,2.0432591719787,,
depto_ocu,float64,12796,0,22,"1.0, 6.0, 11.0, 15.0, 18.0",1.0,22.0,6.981087839949985,6.907163218897796,,Departamento de ocurrencia
mupio_ocu,float64,12796,0,311,"101.0, 115.0, 114.0, 108.0, 110.0",101.0,2217.0,704.1151140981557,690.456795034883,,Municipio de ocurrencia
zona_ocu,float64,12796,0,23,"8.0, 18.0, 21.0, 99.0, 4.0",1.0,99.0,64.56705220381369,44.46138382636448,,Zona de ocurrencia
zona_ciudad,float64,12796,0,23,"8.0, 18.0, 21.0, 99.0, 12.0",1.0,99.0,80.28477649265396,36.36212969994756,,Zona ciudad
sexo_per,float64,12796,0,3,"1.0, 9.0, 2.0",1.0,9.0,1.9586589559237262,2.5070300623065154,,Sexo de la persona
edad_per,float64,12796,0,74,"23.0, 34.0, 25.0, 35.0, 999.0",12.0,999.0,267.6412160050016,414.73814823338,,Edad de la persona
g_edad_80ymas,float64,12796,0,16,"3.0, 5.0, 4.0, 6.0, 16.0",1.0,16.0,7.780087527352298,5.100821458044954,,
g_edad_60ymas,float64,12796,0,12,"3.0, 5.0, 4.0, 6.0, 12.0",1.0,12.0,6.784385745545483,3.567844322879905,,
edad_quinquenales,float64,12796,0,16,"5.0, 7.0, 6.0, 8.0, 18.0",3.0,18.0,9.780087527352297,5.100821458044954,,Edades quinquenales
estado_con,float64,12796,0,3,"9.0, 1.0, 2.0",1.0,9.0,7.372616442638324,3.1413659661016364,,Estado del conductor
mayor_menor,float64,12796,0,3,"1.0, 9.0, 2.0",1.0,9.0,2.9670990934667083,3.42312605758588,,Mayor o menor
tipo_veh,float64,12796,0,17,"4.0, 2.0, 99.0, 3.0, 1.0",1.0,99.0,7.521881838074398,19.008599014795962,,Tipo de Vehículo
marca_veh,float64,12796,0,109,"67.0, 41.0, 20.0, 100.0, 999.0",1.0,999.0,311.883948108784,430.51623897063877,,Marca del vehículo
color_veh,float64,12796,0,17,"4.0, 1.0, 5.0, 99.0, 2.0",1.0,99.0,28.54251328540169,41.77256745024335,,Color del vehículo
modelo_veh,float64,12796,0,49,"2020.0, 2006.0, 9999.0, 2015.0, 2017.0",1973.0,9999.0,7108.064316974054,3839.4598028640794,,Modelo del vehículo
g_modelo_veh,float64,12796,0,7,"6.0, 4.0, 99.0, 5.0, 2.0",1.0,99.0,64.79524851516099,45.43180999268452,,Grupo modelo del vehículo
tipo_eve,float64,12796,0,8,"6.0, 1.0, 2.0, 7.0, 3.0",1.0,99.0,2.143091591122226,2.922724955286757,,Tipo de accidente
anio,int64,12796,0,1,2021,2021.0,2021.0,2021.0,0.0,,
