variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,97761,14227,12796,"1.0, 2.0, 3.0, 4.0, 5.0",,,,,,
ano_ocu,object,87938,24050,8,"2021.0, 2022, 2023, 2016, 2017",,,,,,
dia_ocu,object,111988,0,31,"1.0, 2.0, 3.0, 4.0, 5.0",,,,,,
hora_ocu,object,111988,0,26,"7.0, 9.0, 5.0, 2.0, 19.0",,,,,,
g_hora,object,105665,6323,10,"2.0, 1.0, 4.0, 3.0, 5.0",,,,,,
g_hora_5,object,97761,14227,8,"1.0, 3.0, 2.0, 4.0, Mañana",,,,,,
mes_ocu,object,111988,0,24,"1.0, 2.0, 3.0, 4.0, 5.0",,,,,,
dia_sem_ocu,object,111988,0,16,"5.0, 6.0, 7.0, 1.0, 2.0",,,,,,
depto_ocu,object,111988,0,44,"1.0, 6.0, 11.0, 15.0, 18.0",,,,,,
mupio_ocu,object,111988,0,655,"101.0, 115.0, 114.0, 108.0, 110.0",,,,,,
zona_ocu,object,111988,0,24,"8.0, 18.0, 21.0, 99.0, 4.0",,,,,,
zona_ciudad,float64,12796,99192,23,"8.0, 18.0, 21.0, 99.0, 12.0",1.0,99.0,80.28477649265396,36.36212969994756,,
sexo_per,object,97761,14227,6,"1.0, 9.0, 2.0, Hombre, Mujer",,,,,,
edad_per,object,97761,14227,91,"23.0, 34.0, 25.0, 35.0, 999.0",,,,,,
g_edad_80ymas,object,97761,14227,32,"3.0, 5.0, 4.0, 6.0, 16.0",,,,,,
g_edad_60ymas,object,97761,14227,25,"3.0, 5.0, 4.0, 6.0, 12.0",,,,,,
edad_quinquenales,object,97761,14227,36,"5.0, 7.0, 6.0, 8.0, 18.0",,,,,,
estado_con,object,105665,6323,6,"9.0, 1.0, 2.0, Ebrio, Ignorado",,,,,,
mayor_menor,object,111988,0,6,"1.0, 9.0, 2.0, Mayor, Ignorado",,,,,,
tipo_veh,object,111988,0,41,"4.0, 2.0, 99.0, 3.0, 1.0",,,,,,
marca_veh,object,111988,0,282,"67.0, 41.0, 20.0, 100.0, 999.0",,,,,,
color_veh,object,111988,0,35,"4.0, 1.0, 5.0, 99.0, 2.0",,,,,,
modelo_veh,object,111988,0,77,"2020.0, 2006.0, 9999.0, 2015.0, 2017.0",,,,,,
g_modelo_veh,object,97761,14227,14,"6.0, 4.0, 99.0, 5.0, 2.0",,,,,,
tipo_eve,object,105665,6323,18,"6.0, 1.0, 2.0, 7.0, 3.0",,,,,,
anio,int64,111988,0,11,"2021, 2022, 2013, 2014, 2023",2013.0,2023.0,2018.4891774118655,3.0887756329181775,,
num_hecho,float64,6323,105665,6323,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,6323.0,3162.0,1825.4372079039038,,
areag_ocu,float64,6323,105665,2,"1.0, 2.0",1.0,2.0,1.6212241024829985,0.485120538585754,,
sexo_pil,float64,6323,105665,3,"1.0, 9.0, 2.0",1.0,9.0,1.4206863830460223,1.6531284378219722,,
edad_pil,float64,6323,105665,71,"32.0, 34.0, 28.0, 43.0, 21.0",7.0,999.0,176.7659338921398,343.9991515365338,,
causa_acc,float64,6323,105665,5,"2.0, 1.0, 3.0, 4.0, 99.0",1.0,99.0,1.4445674521587855,3.932628637357511,,
g_edad,float64,14227,97761,12,"5.0, 4.0, 7.0, 3.0, 2.0",1.0,12.0,6.615941519645744,3.34716836942872,,
estado_pil,float64,6323,105665,3,"2.0, 1.0, 9.0",1.0,9.0,5.027202277399969,3.890207069311442,,
grupo_mode_veh,float64,6323,105665,6,"6.0, 5.0, 4.0, 3.0, 2.0",1.0,6.0,5.002214138858137,1.3269628011193717,,
num_correlativo,float64,7904,104084,7904,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,7904.0,3952.5,2281.8325968396543,,
corre_base,float64,7904,104084,5628,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,5628.0,2331.886639676113,1606.250294445284,,
area_geo_ocu,object,29345,82643,2,"1.0, 2.0",,,,,,
sexo_con,float64,7904,104084,3,"1.0, 2.0, 9.0",1.0,9.0,2.6052631578947367,3.147245240990615,,
edad_con,float64,7904,104084,72,"20.0, 21.0, 30.0, 26.0, 18.0",12.0,999.0,298.6318319838057,431.2724163228981,,
