num_corre,mes_ocu,dia_ocu,dia_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,area_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
1,1,1,4,16,3,2,1,101,1,1,2,24,1,3,3,5,9,1,32,11,2003,4,1,2015
2,1,1,4,16,3,2,1,101,1,1,1,19,1,2,2,4,9,4,21,5,2011,5,1,2015
3,1,1,4,22,4,3,1,101,1,16,2,24,1,3,3,5,1,1,21,3,9999,6,1,2015
4,1,1,4,22,4,3,1,101,1,16,1,32,1,5,5,7,1,4,21,5,9999,6,1,2015
5,1,1,4,2,1,1,1,101,1,7,1,18,1,2,2,4,9,4,21,1,2000,4,1,2015
6,1,1,4,2,1,1,1,101,1,7,9,999,9,16,12,18,9,3,44,6,9999,6,1,2015
7,1,1,4,9,2,1,1,101,1,12,1,20,1,3,3,5,9,4,40,5,9999,6,2,2015
8,1,1,4,1,1,1,1,115,1,8,1,23,1,3,3,5,9,1,34,4,9999,6,2,2015
9,1,1,4,8,2,1,1,114,2,99,1,19,1,2,2,4,1,4,41,4,9999,6,3,2015
10,1,1,4,17,3,2,1,110,2,99,1,24,1,3,3,5,1,7,22,7,9999,6,1,2015
11,1,1,4,17,3,2,1,110,2,99,1,23,1,3,3,5,1,4,21,1,9999,6,1,2015
12,1,1,4,10,2,1,6,602,2,99,1,24,1,3,3,5,2,4,99,5,9999,6,3,2015
13,1,1,4,20,4,3,6,602,2,99,1,20,1,3,3,5,1,1,99,6,9999,6,1,2015
14,1,1,4,20,4,3,6,602,2,99,1,24,1,3,3,5,1,1,34,9,2001,4,1,2015
15,1,1,4,20,4,3,6,602,2,99,1,29,1,4,4,6,1,3,44,1,2015,5,1,2015
16,1,1,4,7,2,1,11,1101,2,99,1,21,1,3,3,5,2,3,44,2,2001,4,3,2015
17,1,1,4,15,3,2,15,1501,2,99,1,28,1,4,4,6,2,4,37,5,9999,6,1,2015
18,1,1,4,15,3,2,15,1501,2,99,9,999,9,16,12,18,9,1,99,5,9999,6,1,2015
19,1,2,5,1,1,1,1,101,1,16,1,23,1,3,3,5,9,1,5,5,9999,6,1,2015
20,1,2,5,1,1,1,1,101,1,16,1,33,1,5,5,7,9,1,44,3,9999,6,1,2015
21,1,2,5,10,2,1,1,101,1,10,2,25,1,4,4,6,9,1,20,4,2004,4,1,2015
22,1,2,5,10,2,1,1,101,1,10,1,22,1,3,3,5,9,4,49,3,9999,6,1,2015
23,1,2,5,23,4,3,1,101,1,5,1,25,1,4,4,6,9,1,20,5,2005,4,1,2015
24,1,2,5,23,4,3,1,101,1,5,1,30,1,5,5,7,9,1,30,3,2003,4,1,2015
25,1,2,5,0,1,1,1,115,1,1,1,82,1,15,11,17,9,1,99,3,9999,6,2,2015
26,1,2,5,0,1,1,21,2106,2,99,1,26,1,4,4,6,9,1,21,1,1998,3,3,2015
27,1,2,5,12,3,2,20,2001,2,99,2,28,1,4,4,6,9,4,31,6,1995,3,1,2015
28,1,2,5,12,3,2,20,2001,2,99,9,999,9,16,12,18,9,4,99,5,2012,5,1,2015
29,1,2,5,15,3,2,5,508,2,99,1,25,1,4,4,6,9,6,22,6,1992,3,3,2015
30,1,2,5,7,2,1,12,1201,2,99,1,26,1,4,4,6,9,2,44,5,9999,6,1,2015
31,1,2,5,7,2,1,12,1201,2,99,1,16,2,2,2,4,9,4,42,5,9999,6,1,2015
