num_corre,dia_ocu,ano_ocu,hora_ocu,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,area_geo_ocu,sexo_per,zona_ocu,edad_per,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,anio
1,1,2016,2,1,5,101,1,1,1,1,44,1,1,2,69,9,9999,1,7,7,9,1,1,6,2016
2,1,2016,2,1,5,101,1,1,1,1,27,2,1,4,999,9,9999,1,4,4,6,1,1,6,2016
3,1,2016,2,1,5,101,1,1,1,18,33,2,1,1,48,5,1994,1,5,5,7,1,1,3,2016
4,1,2016,2,1,5,101,1,1,1,18,34,1,1,3,69,5,9999,1,5,5,7,1,1,6,2016
5,1,2016,13,1,5,101,1,1,1,18,30,9,1,1,999,9,9999,1,5,5,7,3,2,6,2016
6,1,2016,13,1,5,101,1,1,1,18,20,9,1,1,999,2,9999,1,3,3,5,3,2,6,2016
7,1,2016,10,1,5,106,1,2,2,99,30,1,1,3,52,4,2014,3,5,5,7,2,1,5,2016
8,1,2016,12,1,5,106,1,2,1,99,20,1,1,4,3,3,2006,1,3,3,5,3,2,4,2016
9,1,2016,12,1,5,106,1,2,1,99,33,1,1,14,6,1,2013,1,5,5,7,3,2,5,2016
10,1,2016,12,1,5,109,1,1,1,99,46,1,1,2,41,9,2003,1,8,8,10,3,2,4,2016
11,1,2016,12,1,5,109,1,1,1,99,31,1,1,1,48,6,1993,1,5,5,7,3,2,3,2016
12,1,2016,5,1,5,109,1,2,1,99,30,1,1,1,69,6,2000,1,5,5,7,1,1,4,2016
13,1,2016,5,1,5,109,1,2,1,99,22,1,1,1,48,6,1997,1,3,3,5,1,1,3,2016
14,1,2016,5,1,5,109,1,2,9,99,999,9,9,14,69,2,9999,1,16,12,18,1,1,6,2016
15,1,2016,2,1,5,109,1,2,9,99,999,9,9,1,999,99,9999,1,16,12,18,1,1,6,2016
16,1,2016,2,1,5,109,1,2,2,99,22,9,1,4,999,99,9999,1,3,3,5,1,1,6,2016
17,1,2016,10,1,5,2201,22,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,2,1,6,2016
18,1,2016,10,1,5,2201,22,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,2,1,6,2016
19,1,2016,17,1,5,2007,20,2,1,99,23,9,1,4,999,99,9999,1,3,3,5,3,2,6,2016
20,1,2016,17,1,5,2007,20,2,1,99,999,9,1,3,69,1,9999,1,16,12,18,3,2,6,2016
21,1,2016,20,1,5,1905,19,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,4,3,6,2016
22,1,2016,20,1,5,1905,19,2,1,99,30,1,1,4,999,99,9999,1,5,5,7,4,3,6,2016
23,1,2016,19,1,5,602,6,2,1,99,26,9,1,1,999,99,9999,2,4,4,6,4,3,6,2016
24,1,2016,19,1,5,602,6,2,9,99,999,9,9,4,999,99,9999,2,16,12,18,4,3,6,2016
